コード,会社名,会社名（カナ）,会社名（英語）,銘柄名,所在地,連結の有無,市場,33業種コード,33業種区分,17業種コード,17業種区分,決算日,総資産（百万）,売上高（百万）
8887,リベレステ株式会社,リベレステカブシキカイシャ,RIBERESUTE CORPORATION,リベレステ,草加市金明町３８９番地１,有,スタンダード（内国株式）,8050,不動産業,17,不動産,5月31日,18636,5970
8889,ＡＰＡＭＡＮ株式会社,アパマンカブシキガイシャ,"Apaman Co.,Ltd.",ＡＰＡＭＡＮ,千代田区丸の内一丁目８番１号丸の内トラストタワーＮ館,有,スタンダード（内国株式）,8050,不動産業,17,不動産,9月30日,33241,44419
8890,株式会社レーサム,カブシキガイシャレーサム,"Raysum Co., Ltd.",レーサム,千代田区霞が関三丁目２番１号,有,スタンダード（内国株式）,8050,不動産業,17,不動産,3月31日,104861,32219
8891,ＡＭＧホールディングス株式会社,エーエムジーホールディングスカブシキガイシャ,"AMG HOLDINGS CO.,LTD.",ＡＭＧホールディングス,名古屋市中区錦３丁目１０番３２号,有,スタンダード（内国株式）,8050,不動産業,17,不動産,3月31日,14965,13108
8892,株式会社日本エスコン,カブシキガイシャニホンエスコン,ES-CON JAPAN Ltd.,日本エスコン,港区虎ノ門二丁目１０番４号,有,プライム（内国株式）,8050,不動産業,17,不動産,12月31日,252771,79017
8893,株式会社新日本建物,カブシキガイシャシンニホンタテモノ,"SHIN-NIHON TATEMONO CO.,LTD.",新日本建物,新宿区新宿四丁目３番１７号,無,スタンダード（内国株式）,8050,不動産業,17,不動産,3月31日,21462,15794
8894,株式会社ＲＥＶＯＬＵＴＩＯＮ,カブシキガイシャレボリューション,"REVOLUTION CO.,LTD.",ＲＥＶＯＬＵＴＩＯＮ,下関市細江町二丁目２番１号,有,スタンダード（内国株式）,8050,不動産業,17,不動産,10月31日,2199,1090
8897,ＭＩＲＡＲＴＨホールディングス株式会社,ミラースホールディングスカブシキガイシャ,"MIRARTH HOLDINGS, Inc.",ＭＩＲＡＲＴＨホールディングス,千代田区丸の内一丁目８番２号　鉄鋼ビルディング１６階,有,プライム（内国株式）,8050,不動産業,17,不動産,3月31日,204315,148397
8898,株式会社センチュリー２１・ジャパン,カブシキガイシャセンチュリートウエンテイワンジャパン,CENTURY 21 REAL ESTATE OF JAPAN LTD.,センチュリー２１・ジャパン,港区北青山２－１２－１６北青山吉川ビル７Ｆ,無,スタンダード（内国株式）,8050,不動産業,17,不動産,3月31日,7097,3867
8903,株式会社サンウッド,カブシキガイシャサンウッド,Sunwood Corporation,サンウッド,港区虎ノ門三丁目２番２号,有,スタンダード（内国株式）,8050,不動産業,17,不動産,3月31日,19366,14419
8904,株式会社ＡＶＡＮＴＩＡ,カブシキガイシャアバンティア,"AVANTIA CO., LTD.",ＡＶＡＮＴＩＡ,名古屋市瑞穂区妙音通三丁目３１番地の１,有,プライム（内国株式）,8050,不動産業,17,不動産,8月31日,53466,45327
8905,イオンモール株式会社,イオンモールカブシキガイシャ,"AEON Mall Co.,Ltd.",イオンモール,千葉市美浜区中瀬１丁目５番地１,有,プライム（内国株式）,8050,不動産業,17,不動産,2月末日,1394199,280688
8908,株式会社毎日コムネット,カブシキガイシャマイニチコムネット,"MAINICHI COMNET  CO., LTD.",毎日コムネット,千代田区大手町２－１－１,有,スタンダード（内国株式）,8050,不動産業,17,不動産,5月31日,25248,17012
8909,株式会社シノケングループ,カブシキガイシャシノケングループ,"shinoken group co.,ltd.",シノケングループ,福岡市中央区天神一丁目１番１号,有,スタンダード（内国株式）,8050,不動産業,17,不動産,12月31日,99010,96394
8912,株式会社エリアクエスト,カブシキガイシャエリアクエスト,Area Quest Inc.,エリアクエスト,新宿区西新宿六丁目５番１号,有,スタンダード（内国株式）,8050,不動産業,17,不動産,6月30日,3350,2142
8914,エリアリンク株式会社,エリアリンクカブシキガイシャ,"Arealink Co.,Ltd.",エリアリンク,千代田区外神田４ー１４ー１,有,スタンダード（内国株式）,8050,不動産業,17,不動産,12月31日,42202,20572
8917,ファースト住建株式会社,ファーストジュウケンカブシキカイシャ,"First Juken Co.,Ltd.",ファースト住建,尼崎市東難波町五丁目６番９号,無,プライム（内国株式）,8050,不動産業,17,不動産,10月31日,50911,42631
8918,株式会社ランド,カブシキガイシャランド,"LAND Co.,Ltd.",ランド,横浜市西区北幸二丁目８番２９号,有,スタンダード（内国株式）,8050,不動産業,17,不動産,2月末日,6038,1141
